
==== Front
Front Genet
Front Genet
Front. Genet.
Frontiers in Genetics
1664-8021
Frontiers Media S.A.

794820
10.3389/fgene.2021.794820
Genetics
Original Research
Educational Attainment and Ischemic Stroke: A Mendelian Randomization Study
Gao et al.
Education and Ischaemic Stroke
Gao Luyan 1

Wang Kun 2
Ni Qing-Bin 2
Fan Hongguang 1
Zhao Lan 1
Huang Lei 1
Yang Mingfeng 3 *

Li Huanming 4 *
1 Department of Neurology, Tianjin Fourth Central Hospital, The Fourth Central Hospital Affilicated to Nankai University, The Fourth Central Clinical College of Tianjin Medical University, Tianjin, China
2 Taishan Academy of Medical Sciences, Taian City Central Hospital, Taian, China
3 Second Affiliated Hospital, Brain Science Institute, Key Laboratory of Cerebral Microcirculation in Universities of Shandong, Shandong First Medical University and Shandong Academy of Medical Sciences, Taian, China
4 Department of Cardiovascular, Tianjin Fourth Central Hospital, The Fourth Central Hospital Affilicated to Nankai University, The Fourth Central Clinical College of Tianjin Medical University, Tianjin, China
Edited by: Liangcai Zhang, Janssen Research and Development, United States

Reviewed by: Yang Hu, Harbin Institute of Technology, China

Keshen Li, The First Affiliated Hospital of Jinan University, China

*Correspondence: Mingfeng Yang, mfyang@163.com; Huanming Li, 13820788663@163.com
This article was submitted to Statistical Genetics and Methodology, a section of the journal Frontiers in Genetics

11 2 2022
2021
12 79482014 10 2021
24 12 2021
Copyright © 2022 Gao, Wang, Ni, Fan, Zhao, Huang, Yang and Li.
2022
Gao, Wang, Ni, Fan, Zhao, Huang, Yang and Li
https://creativecommons.org/licenses/by/4.0/ This is an open-access article distributed under the terms of the Creative Commons Attribution License (CC BY). The use, distribution or reproduction in other forums is permitted, provided the original author(s) and the copyright owner(s) are credited and that the original publication in this journal is cited, in accordance with accepted academic practice. No use, distribution or reproduction is permitted which does not comply with these terms.
Observational studies have evaluated the potential association of socioeconomic factors such as higher education with the risk of stroke but reported controversial findings. The objective of our study was to evaluate the potential causal association between higher education and the risk of stroke. Here, we performed a Mendelian randomization analysis to evaluate the potential association of educational attainment with ischemic stroke (IS) using large-scale GWAS datasets from the Social Science Genetic Association Consortium (SSGAC, 293,723 individuals), UK Biobank (111,349 individuals), and METASTROKE consortium (74,393 individuals). We selected three Mendelian randomization methods including inverse-variance-weighted meta-analysis (IVW), weighted median regression, and MR–Egger regression. IVW showed that each additional 3.6-year increase in years of schooling was significantly associated with a reduced IS risk (OR = 0.54, 95% CI: 0.41–0.71, and p = 1.16 × 10–5). Importantly, the estimates from weighted median (OR = 0.49, 95% CI: 0.33–0.73, and p = 1.00 × 10–3) and MR–Egger estimate (OR = 0.18, 95% CI: 0.06–0.60, and p = 5.00 × 10–3) were consistent with the IVW estimate in terms of direction and magnitude. In summary, we provide genetic evidence that high education could reduce IS risk.

stroke
educational attainment
Mendelian randomization
genome-wide association studies
ischaemic stroke
National Natural Science Foundation of China 10.13039/501100001809 81871855
==== Body
pmcIntroduction

Stroke is one of the leading causes of serious long-term disability in the world and is the fifth leading cause of death in the United States (Mozaffarian et al., 2016a; Mozaffarian et al., 2016b). Every year, there are more than 795,000 people having a stroke and more than 130,000 deaths from stroke, and the estimated stroke cost is $33 billion in the United States (Mozaffarian et al., 2016b). In recent years, there has been an increased interest for observational studies exploring the impact of socioeconomic factors such as higher education on stroke risk. In fact, a number of studies have reported that high education could reduce the risk of stroke (Nordahl et al., 2014; Ferrario et al., 2017; Kubota et al., 2017; Mchutchison et al., 2017). However, there are still some inconsistent findings. In 2002, Chang et al. found that stroke risk was reduced among less educated women in Africa, compared to highly educated women (Chang et al., 2002). It is well known that persons with cognitive impairment are at a higher risk of stroke (Sajjad et al., 2015). In 2015, Sajjad et al. conducted an observational study of 9,152 participants from the Rotterdam (Sajjad et al., 2015). They identified that education could modify the association between subjective memory complaints and risk of stroke (Sajjad et al., 2015). Higher education is significantly associated with a higher risk of stroke (hazard ratio = 1.39; 95% CI: 1.07–1.81) (Sajjad et al., 2015).

In recent years, large-scale genome-wide association studies (GWAS) promptly identified some common genetic variants and provided insight into the genetics of educational attainment (Okbay et al., 2016) and stroke (Malik et al., 2016). The existing large-scale GWAS datasets provide strong support for investigating the potential causal association of educational attainment with stroke risk by a Mendelian randomization analysis (Mokry et al., 2015; Nelson et al., 2015; Ference et al., 2017; Larsson et al., 2017a; Manousaki et al., 2017; Tillmann et al., 2017). This method could avoid some limitations of observational studies and is widely used to determine the causal inferences (Mokry et al., 2015; Ference et al., 2017; Larsson et al., 2017a; Manousaki et al., 2017; Tillmann et al., 2017; Wang et al., 2020).

It is reported that about 87% of all strokes are ischemic stroke (IS), in which blood flow to the brain is blocked (Mozaffarian et al., 2016a; Mozaffarian et al., 2016b). Intracerebral hemorrhage is the second most common cause of stroke (about 15%–30% of strokes) (An et al., 2017). Here, we performed a Mendelian randomization (MR) study to investigate the association of increased educational attainment with IS risk using the genetic variants from the large-scale educational attainment GWAS dataset (N = 405,072 individuals of European descent) and the large-scale IS GWAS dataset (N = 29,633, including 10,307 IS cases and 19,326 controls of European descent).

Materials and Methods

Study Mesign

MR is based on three principal assumptions (Emdin et al., 2017; Larsson et al., 2017a). First, the genetic variants selected to be instrumental variables should be associated with the exposure (educational attainment) (Emdin et al., 2017; Larsson et al., 2017a). Second, the genetic variants should not be associated with confounders (assumption 2) (Emdin et al., 2017; Larsson et al., 2017a). Third, genetic variants should affect the risk of the outcome (IS) only through the exposure (educational attainment) (assumption 3) (Emdin et al., 2017; Larsson et al., 2017a). Recent studies have provided the more detailed information about the three principal assumptions (Liu et al., 2018; Liu et al., 2019; Zhang et al., 2020; Liu et al., 2021a; Liu et al., 2021b; Sun et al., 2021). This study is based on the publicly available, large-scale GWAS summary datasets. All participants gave informed consent in all these corresponding original studies. All relevant data are within the paper and the Supplementary Tables S1. The authors confirm that all data underlying the findings are either fully available without restriction through consortia websites or may be made available from consortia upon request.

Educational Attainment GWAS Dataset

We selected a large-scale GWAS dataset of educational attainment in individuals of European descent whose educational attainment was assessed at or above age 30 (Okbay et al., 2016). The examined phenotype is a continuous variable measuring the number of years of schooling completed (EduYears) (Okbay et al., 2016). This GWAS dataset consisted of 293,723 individuals in the discovery stage [Social Science Genetic Association Consortium (SSGAC), EduYears mean = 14.3, standard deviation (SD) = 3.6] and 111,349 individuals in the independent replication stage (UK Biobank, EduYears mean = 13.7, SD = 5.1) (a total of 405,072 individuals of European descent) (Okbay et al., 2016). In brief, the discovery stage GWAS from SSGAC was performed at the cohort level in individuals of European descent (Okbay et al., 2016). The replication stage GWAS from UK Biobank was conducted using conventionally population-based unrelated individuals with “White British” ancestry in the United Kingdom (Okbay et al., 2016). The meta-analysis of the discovery and replication stages of GWAS identified 162 independent genetic variants with the genome-wide significance (p < 5.00 × 10–8) (Okbay et al., 2016). Here, we selected these 162 independent genetic variants as the potential instrumental variables, as provided in Table 1 and Supplementary Table S1, which could explain 1.6%–1.8% of the variance in education (Tillmann et al., 2017). Meanwhile, Li and others also selected these 162 independent genetic variants in their MR analysis to evaluate the causal association between educational attainment and asthma (Li et al., 2021).

TABLE 1 162 independent genetic variants as the potential instrumental variables.

SNP	Effect allele	Non-effect allele	Effect allele frequency	Effect size	Standard error	p-value	
rs11130222	A	T	0.59	0.025	0.0023	3.68E-28	
rs13090388	T	C	0.31	0.026	0.0024	2.58E-26	
rs7029201	A	G	0.41	0.025	0.0023	7.16E-27	
rs9401593	A	C	0.52	−0.024	0.0022	3.83E-28	
rs12987662	A	C	0.39	0.025	0.0023	8.52E-28	
rs8002014	A	G	0.27	−0.024	0.0025	3.80E-21	
rs34305371	A	G	0.1	0.036	0.0039	1.52E-20	
rs10773002	A	T	0.25	0.022	0.0026	7.74E-18	
rs6882046	A	G	0.74	−0.019	0.0025	8.12E-14	
rs17824247	T	C	0.59	−0.016	0.0023	2.41E-12	
rs61160187	A	G	0.61	−0.017	0.0023	2.71E-14	
rs11588857	A	G	0.21	0.02	0.0027	3.27E-13	
rs2456973	A	C	0.67	−0.019	0.0024	5.83E-16	
rs10786662	C	G	0.55	−0.017	0.0022	4.63E-14	
rs4863692	T	G	0.32	0.017	0.0024	4.61E-12	
rs10223052	A	G	0.36	0.016	0.0023	3.56E-12	
rs11998763	A	G	0.54	0.017	0.0022	4.61E-14	
rs9964724	T	C	0.68	0.018	0.0024	2.39E-14	
rs6839705	A	C	0.36	0.015	0.0023	1.19E-10	
rs7964899	A	G	0.44	0.016	0.0022	4.37E-13	
rs12410444	A	G	0.7	−0.017	0.0024	6.01E-13	
rs112634398	A	G	0.95	0.038	0.0055	2.74E-12	
rs1106761	A	G	0.38	−0.016	0.0023	1.37E-11	
rs3172494	T	G	0.12	0.023	0.0036	8.98E-11	
rs58694847	C	G	0.26	−0.018	0.0025	4.98E-12	
rs1008078	T	C	0.4	−0.017	0.0023	3.10E-14	
rs34344888	A	G	0.39	−0.016	0.0023	8.87E-13	
rs1378214	T	C	0.37	−0.015	0.0023	1.85E-11	
rs16845580	T	C	0.63	0.016	0.0023	4.14E-12	
rs12900061	A	G	0.18	0.019	0.0029	5.04E-11	
rs35771425	T	C	0.79	0.018	0.0027	2.71E-11	
rs7776010	T	C	0.82	−0.021	0.003	2.61E-12	
rs1338554	A	G	0.5	0.015	0.0022	1.52E-11	
rs356992	C	G	0.3	0.017	0.0024	4.03E-12	
rs7593947	A	T	0.51	0.015	0.0022	2.39E-11	
rs1912528	T	C	0.36	0.014	0.0023	1.53E-09	
rs2992632	A	T	0.72	0.016	0.0025	3.25E-11	
rs4741351	A	G	0.3	−0.015	0.0024	2.98E-10	
rs6715849	A	G	0.44	−0.015	0.0022	1.65E-11	
rs660001	A	G	0.21	−0.018	0.0027	1.34E-10	
rs320700	A	G	0.65	0.014	0.0023	3.91E-09	
rs113474297	T	C	0.13	−0.021	0.0034	8.34E-10	
rs28420834	A	G	0.45	−0.014	0.0023	2.67E-10	
rs56231335	T	C	0.67	−0.017	0.0024	7.17E-13	
rs62263923	A	G	0.64	−0.017	0.0023	1.11E-13	
rs12076635	C	G	0.79	0.018	0.0027	3.11E-11	
rs9556958	T	C	0.53	−0.015	0.0022	1.21E-11	
rs8049439	T	C	0.59	0.015	0.0023	6.99E-11	
rs11774212	T	C	0.52	0.016	0.0023	1.51E-12	
rs10483349	A	G	0.81	−0.017	0.0028	7.11E-10	
rs71326918	A	C	0.1	0.022	0.0039	1.02E-08	
rs11687170	T	C	0.83	0.021	0.0035	1.39E-09	
rs7286601	T	G	0.54	−0.014	0.0023	1.99E-09	
rs73344830	A	G	0.42	0.015	0.0023	9.93E-12	
rs12143094	C	G	0.06	0.029	0.0049	2.73E-09	
rs34638686	T	C	0.1	0.023	0.0038	1.51E-09	
rs10761741	T	G	0.42	0.013	0.0023	7.05E-09	
rs75090987	A	C	0.52	0.014	0.0022	1.14E-09	
rs4500960	T	C	0.46	−0.014	0.0022	2.56E-10	
rs1562242	T	C	0.48	−0.013	0.0022	5.95E-09	
rs192818565	T	G	0.8	0.02	0.0029	2.02E-12	
rs12534506	A	T	0.47	−0.014	0.0023	3.17E-10	
rs10178115	T	G	0.54	0.014	0.0022	5.84E-10	
rs62100765	T	C	0.42	−0.015	0.0023	1.08E-10	
rs12142680	A	G	0.09	0.026	0.0043	8.97E-10	
rs71413877	A	G	0.04	0.035	0.0058	1.91E-09	
rs149613931	T	G	0.06	−0.028	0.0048	5.54E-09	
rs17167170	A	G	0.8	0.019	0.0028	1.79E-12	
rs12956009	T	C	0.57	−0.013	0.0022	3.75E-09	
rs2179152	T	C	0.37	−0.013	0.0023	9.30E-09	
rs7033137	C	G	0.76	0.015	0.0026	1.77E-08	
rs4378243	T	G	0.83	0.018	0.0029	1.04E-09	
rs4493682	C	G	0.17	0.019	0.003	1.54E-10	
rs9755467	T	C	0.16	0.019	0.0031	5.11E-10	
rs4851251	T	C	0.27	−0.015	0.0025	1.36E-09	
rs7945718	A	G	0.62	0.014	0.0023	1.26E-09	
rs1382358	T	C	0.87	0.02	0.0035	1.66E-08	
rs148490894	A	G	0.98	0.044	0.0078	1.84E-08	
rs12761761	T	C	0.24	0.016	0.0027	1.04E-08	
rs142328051	T	C	0.91	0.022	0.0039	3.60E-08	
rs55786114	T	C	0.07	−0.03	0.0045	4.11E-11	
rs7948975	T	C	0.64	0.014	0.0023	1.14E-09	
rs1606974	A	G	0.12	0.022	0.0034	1.82E-10	
rs10772644	C	G	0.88	0.02	0.0035	1.65E-08	
rs111321694	T	C	0.17	−0.016	0.003	4.33E-08	
rs17425572	A	G	0.46	0.014	0.0022	1.38E-09	
rs111730030	T	G	0.06	−0.029	0.005	7.51E-09	
rs1550973	A	G	0.35	−0.014	0.0023	2.00E-09	
rs2406253	A	G	0.81	0.016	0.0028	4.64E-08	
rs7772172	A	G	0.4	0.013	0.0023	9.83E-09	
rs281302	A	G	0.56	−0.013	0.0022	2.88E-09	
rs17372140	A	G	0.3	−0.014	0.0024	9.19E-09	
rs12640626	A	G	0.58	0.013	0.0023	1.66E-08	
rs113011189	T	C	0.09	−0.025	0.0045	2.91E-08	
rs56081191	A	G	0.07	0.028	0.0047	3.67E-09	
rs12694681	T	G	0.69	0.014	0.0024	1.81E-08	
rs12134151	C	G	0.5	−0.013	0.0022	1.14E-08	
rs7914680	T	G	0.71	−0.014	0.0025	1.60E-08	
rs6493271	T	C	0.83	0.017	0.0029	4.21E-09	
rs152603	A	G	0.65	−0.013	0.0023	2.01E-08	
rs7791133	A	C	0.38	−0.014	0.0023	2.33E-09	
rs1389473	A	G	0.38	−0.013	0.0023	4.52E-09	
rs61874768	T	G	0.18	−0.016	0.0029	3.85E-08	
rs10818606	T	C	0.4	−0.014	0.0023	5.67E-10	
rs2568955	T	C	0.25	−0.016	0.0026	5.77E-10	
rs268134	A	G	0.25	0.014	0.0026	3.53E-08	
rs6939294	T	C	0.23	0.016	0.0026	2.90E-09	
rs12653396	A	T	0.56	−0.013	0.0022	7.65E-09	
rs648163	T	C	0.26	0.014	0.0025	1.38E-08	
rs140711597	C	G	0.98	0.052	0.0091	1.66E-08	
rs301800	T	C	0.18	0.016	0.0029	2.85E-08	
rs12462428	T	C	0.81	0.016	0.0028	3.31E-08	
rs11756123	A	T	0.35	−0.015	0.0023	6.43E-11	
rs7429990	A	C	0.27	−0.015	0.0026	8.44E-09	
rs12702087	A	G	0.46	0.013	0.0022	1.74E-09	
