
==== Front
BMC BioinformaticsBMC BioinformaticsBMC Bioinformatics1471-2105BioMed Central London 328610.1186/s12859-019-3286-3Methodology ArticleMultiset sparse partial least squares path modeling for high dimensional omics data analysis http://orcid.org/0000-0003-4969-5555Csala Attila a@csala.me Zwinderman Aeilko H. a.h.zwinderman@amc.uva.nl Hof Michel H. m.h.hof@amc.uva.nl 0000000084992262grid.7177.6Department of Clinical Epidemiology, Biostatistics and Bioinformatics, University of Amsterdam, Amsterdam, 1105 AZ The Netherlands 9 1 2020 9 1 2020 2020 21 95 3 2019 20 11 2019 © The Author(s) 2019Open Access This article is distributed under the terms of the Creative Commons Attribution 4.0 International License (http://creativecommons.org/licenses/by/4.0/), which permits unrestricted use, distribution, and reproduction in any medium, provided you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons license, and indicate if changes were made. The Creative Commons Public Domain Dedication waiver(http://creativecommons.org/publicdomain/zero/1.0/) applies to the data made available in this article, unless otherwise stated.Background
Recent technological developments have enabled the measurement of a plethora of biomolecular data from various omics domains, and research is ongoing on statistical methods to leverage these omics data to better model and understand biological pathways and genetic architectures of complex phenotypes. Current reviews report that the simultaneous analysis of multiple (i.e. three or more) high dimensional omics data sources is still challenging and suitable statistical methods are unavailable. Often mentioned challenges are the lack of accounting for the hierarchical structure between omics domains and the difficulty of interpretation of genomewide results. This study is motivated to address these challenges. We propose multiset sparse Partial Least Squares path modeling (msPLS), a generalized penalized form of Partial Least Squares path modeling, for the simultaneous modeling of biological pathways across multiple omics domains. msPLS simultaneously models the effect of multiple molecular markers, from multiple omics domains, on the variation of multiple phenotypic variables, while accounting for the relationships between data sources, and provides sparse results. The sparsity in the model helps to provide interpretable results from analyses of hundreds of thousands of biomolecular variables.

Results
With simulation studies, we quantified the ability of msPLS to discover associated variables among high dimensional data sources. Furthermore, we analysed high dimensional omics datasets to explore biological pathways associated with Marfan syndrome and with Chronic Lymphocytic Leukaemia. Additionally, we compared the results of msPLS to the results of Multi-Omics Factor Analysis (MOFA), which is an alternative method to analyse this type of data.

Conclusions
msPLS is an multiset multivariate method for the integrative analysis of multiple high dimensional omics data sources. It accounts for the relationship between multiple high dimensional data sources while it provides interpretable results through its sparse solutions. The biomarkers found by msPLS in the omics datasets can be interpreted in terms of biological pathways associated with the pathophysiology of Marfan syndrome and of Chronic Lymphocytic Leukaemia. Additionally, msPLS outperforms MOFA in terms of variation explained in the chronic lymphocytic leukaemia dataset while it identifies the two most important clinical markers for Chronic Lymphocytic Leukaemia

Availability
http://uva.csala.me/mspls.https://github.com/acsala/2018_msPLS

Keywords
Multivariate analysisHigh dimensional omics dataPartial least squaresissue-copyright-statement© The Author(s) 2020
==== Body
Background
Technological developments have enabled the measurement and storage of a plethora of biomolecular data extracted from various omics domains, such as data from the genome, epigenome, proteome or metabolome. It has become common to measure hundreds of thousands of biomolecular variables. To explore biological pathways across multiple omics domains, which might be associated with phenotypic (e.g. disease) outcomes, a natural research direction is to simultaneously analyse these omics domains. Complex diseases, such as obesity, diabetes, and schizophrenia have genetic architectures that involve many biological pathways, since they are a result of interactions between genomic, epigenomic and environmental variables [1, 2]. Therefore, modeling biological pathways across multiple omics domains might help to better understand the underlying genetic architecture and biological processes of complex phenotypes, which in turn leads to improved diagnosis, prognosis and therapy [1].

There is ongoing research for suitable statistical methods that could help leverage the available omics data to better model and understand biological pathways and genetic architectures of complex phenotypes on the biomolecular level [3].

Some of the first statistical methods developed for the integrated (i.e. simultaneous) analysis of multiple high dimensional omics datasets are generalizations of well known multivariate methods; e.g. sparse Canonical Correlation Analysis (CCA) [4–8], sparse Redundancy Analysis (RDA) [9, 10], and Multi-Omics Factor Analysis (MOFA) [11]. Detailed reviews and discussions on multivariate methods for omics data analysis can be found in [3, 12–18]. Although there are various statistical methods available to analyse omics data, recent reports argue that the simultaneous analysis of multiple (i.e. three or more) omics data sources is still challenging and current statistical methods are suboptimal. Among the challenges are the lack of accounting for the hierarchical structure between omics domains (i.e. relationship between data sources) and the difficulty of interpretation of genomewide results [2, 3, 19, 20].

To address those challenges, we propose a multiset multivariate statistical method, called multiset sparse Partial Least Squares path modeling (msPLS). msPLS is the penalised extension of multi-block Partial Least Squares path modeling (PLS-PM). Given the situation where biomolecular variables from multiple omics domains are measured on the same patients with shared phenotypes of interest, msPLS models biological pathways by identifying biomarkers (i.e. biomolecular variables that are associated with the phenotypes of interest) in each omics domain. The omics domains are assumed to have a hierarchical structure between each other, and their relationship is modelled in terms of dependencies through explanatory and response domain pairs. The explanatory and response omics data source pairs can be determined through the hypothesised information transfer between data sources as follows [21]. In an asymmetric relationship, a response data source is dependent on a explanatory data source if the prevalent way of information transfer is from the explanatory to the response data source. In a symmetric relationship, there is a recursive information transfer between data sources, and both data sources are dependent on each other. In PLS-PM, latent variables (LVs) are used to model the relationships between explanatory and response manifest variables (MVs) [22, 23]. Similarly to PLS-PM, the LVs in msPLS are linear combinations of the MVs, and are estimated in an iterative regression framework [24]. The LVs are constructed so that the combination of the explanatory MVs account for the most variance either directly in the response MVs (in an asymmetric relationship), or in the LVs of the response MVs (in a symmetric relationship). In general, Partial Least Squares path modeling distinguishes between these two types of relationships between data sources (i.e. symmetric or asymmetric relationships) the same way as the two well known multivariate statistical methods Canonical Correlation Analysis [8] and Redundancy Analysis [10] do. In the “Methods” section, we describe msPLS’s direct correspondence with those two well known multivariate methods. We give a detailed description of msPLS in the “Methods” section.

To illustrate such an explanatory and response dependency structure, consider that we have biomolecular variables (i.e. genomewide epigenomic, transcriptomic and proteomic variables) measured in patients with Marfan syndrome. The goal of this analysis is to use msPLS to explore biological pathways associated with Marfan syndrome, through the simultaneous analysis of the data sources. For this setting, we assume that the proteomic variables are responses for both the epigenomic and transcriptomic variables. Thus the proteome data source has an asymmetric relationship with both the epigenome and the transcriptome data sources. Additionally, there is a symmetric relationship between the epigenome and the transcriptome data sources, assuming a recursive information transfer between the epigenome and transcriptome. These assumptions are based on the special biological sequential information transfers of the central dogma of molecular biology and its elaborated versions [25, 26]. Given the above relationship between omics domains, msPLS identifies the combination of epigenomic and transcriptomic biomarkers that explain the most variance in the proteomic variables, while the combination of the epigenomic and transcriptomic biomarkers have maximum possible correlation with each other. This example is elaborated in more detail in the “Results” section of this paper.

To provide interpretable results from analyses of hundreds of thousands of MVs is addressed through sparse variable selection. msPLS enforces sparse variable selection through penalization methods, such as through the Least Absolute Shrinkage and Selection Operator (LASSO), Ridge, and Elastic Net (ENet) penalization methods [27]. These penalization methods are introduced to PLS-PM by regularising the multivariate regression steps in the iterative regression framework. Introducing regularisation allows msPLS to deal with the characteristic high dimensionality of omics datasets, where the number of variables are much higher than the number of samples. In addition, regularisation improves the interpretability of the final model in the form of sparse variable selection. Once the final model is obtained, the identified biomarkers can be interpreted in terms of biological pathways that are associated with the interest of phenotypes. In the “Methods” section, we quantify msPLS’s ability to identify a handful of associated variables from multiple data sources among thousands of irrelevant variables.

The rest of the paper is structured as follows. In the next section, the results of the real data analyses are described, where msPLS was applied to geneomewide biomolecular variables measured in Marfan patients in order to explain the variance in the phenotypic proteomic variables with the combination of biomarkers from the epigenome and transcriptome, while accounting for a hypothesised relationship in omics domains. Additionally, msPLS was applied to a second omics dataset containing data from patients with Chronic lymphocytic leukaemia, and its results were compared to the results of MOFA. We discuss these findings in the “Discussion” section. In the “Methods” section, we describe msPLS and its implementation in an iterative regression framework, along with a working example of the analysis of three related data sources. In addition, we describe how msPLS, and PLS in general, relate to two well known multivariate methods, CCA and RDA. Finally, we show the results from a simulation study that was performed to assess the ability of msPLS to deal with high dimensional data and its ability to extract explanatory MVs that explain the most variance in the response MVs and LVs.

Results
We applied msPLS to genomewide epigenomic, transcriptomic and proteomic data sources measured in Marfan patients [28]. In addition, we applied msPLS to genomic, epigenomic, transcriptomic, and drug response data sources measured in Chronic Lymphocytic Leukaemia (CLL) patients [29].

Marfan data
The goal of this analysis was to explore biological pathways associated with Marfan disease based on epigenomic, transcriptomic and proteomic data measured in 37 Marfan patients [30]. The 364,134 epigenomic methylation variables were obtained by Illumina Infinium HumanMethylation450 BeadChip from blood leukocytes, the 18,424 transcriptomic gene expression variables were obtained by Affymetrix Human Exon 1.0ST Arrays from skin biopsy, and the 47 proteomic cytokine variables were measured in blood plasma.

The model was constructed by extracting the combination of LVs from the epigenome and transcriptome that explain the most variance in the phenotypic proteome MVs (Fig. 1). We hypothesised a symmetric relationship between the epigenome and transcriptome and asymmetric relationships from the proteome to both the epigenome and the transcriptome, so that the proteomic variables were set as response MVs for both the epigenomic and transcriptomic MVs. We used Univariate Soft Thresholding (UST) penalisation with 10-fold cross validation (see “Methods” section) to find the penalisation parameter that optimised the sum of squared correlations between the combination of LVs from the epigenome and transcriptome with respect to the proteome variables (see Eq. (5) in Methods). The final model extracted 40 methylation markers and 52 gene expression markers that optimised the sum of squared correlation of the explanatory LVs of the epigenome and transcriptome with the MVs from the proteome (Fig. 2). The sum of squared correlations was 9.32. Through bootstrapping, we obtained a 95% confidence interval of [9.03, 9.56] and a p-value <0.01 after permutation (see “Methods” section). The best fitting model resulted in a set of LVs that captured 49% of variance in both the epigenome and transcriptome variables and 65% of variance in the proteome variables. The extracted biomarkers with their corresponding individual contribution towards the overall explained variance in the proteomic variables (i.e. illustrated by the methylation and gene expression weights) and the proteomic variables with their corresponding individual correlation strength with the combination of the explanatory LVs (i.e. illustrated by the cytokine weights) are listed in Table 1.
Fig. 1 msPLS identified a combination of 40 epigenomic markers (denoted as ξ1) and 52 transcriptomic markers (denoted as ξ2) that explain the most variance in the proteome variables. The color scale represents the strength of w regression weights


Fig. 2 msPLS identified 40 methylation markers and 52 gene expression markers that optimised the sum of squared correlation of the explanatory LVs of the epigenome and transcriptome with the MVs from the proteome


Table 1 The weights of the epigenomic, transcriptomic and proteomic variables extracted by msPLS from the Marfan data

Methylation markers	Gene expression markers	Cytokine markers	
Site	w	Gene code	w	Marker code	w	
cg02394578	0.93	AKAP4	0.65	b NGF 46	0.43	
cg20332866	0.96	ANXA2P3	0.63	CTACK 72	0.34	
cg00906428	0.91	ASMT_A	0.83	GRO a 61	0.31	
cg05024291	0.93	ATHL1	0.73	HGF 62	0.21	
cg05093318	0.95	B9D2	0.66	Hu Eotaxin 43	-0.34	
cg18850112	0.97	C15orf52	0.76	Hu FGF basic 44	0.46	
cg07475117	0.95	C17orf54	0.44	Hu G CSF 57	0.61	
cg07588614	0.94	C1orf170	0.8	Hu GM CSF 34	0.43	
cg10372701	0.94	C9orf98	0.4	Hu IFN g 21	0.28	
cg01718788	-0.9	CALHM1	0.84	Hu IL 10. 56	0.82	
cg17061156	0.87	CHTF18	0.81	Hu IL 12 p70. 75	0.51	
cg24000259	0.95	CLEC4C	0.39	Hu IL 13 51	0.44	
cg25914270	0.92	COL4A6	0.69	Hu IL 15 73	0.19	
cg14203970	0.91	CXorf50B	0.84	Hu IL 17 76	0.65	
cg22859054	0.94	CYP1A2	0.64	Hu IL 1b 39	0.48	
cg02927485	0.96	DKFZp779	0.85	Hu IL 1ra 25	0.58	
cg22389215	0.88	FKRP	0.85	Hu IL 2 38	0.49	
cg09570676	0.96	FUZ	0.71	Hu IL 4 52	0.26	
cg14751679	0.93	GTF2IRD1	0.29	Hu IL 5 33	0.29	
cg24477102	0.94	HIGD1B	0.53	Hu IL 6 19	0.04	
cg24882220	0.93	ICAM5	0.85	Hu IL 7 74	0.44	
cg25626012	0.95	JPH3	0.88	Hu IL 8 54	-0.26	
cg26502549	0.94	LBP	0.53	Hu IL 9 77	0.42	
cg00015699	0.93	LOC64322	-0.44	Hu IP 10. 48	0.72	
cg01281611	0.93	LRRC50	0.66	Hu MCP 1	-0.04	
cg07685390	0.95	MGC4294	0.73	Hu MIP 1a 55	0.23	
cg26550872	0.97	MT1DP	0.43	Hu MIP 1b 18	0.47	
cg09236780	0.92	MT1L	0.51	Hu PDGF bb 47	-0.29	
cg20618527	0.92	NDUFAF2	-0.47	Hu RANTES 37	0.52	
cg01546046	0.89	OR11A1	-0.53	Hu VEGF 45	0.59	
cg20999565	0.96	PEX11G	0.77	IFN a2 20	0.15	
cg11152012	0.87	PIF1	0.88	Il 12 p40 28	0.52	
cg22958262	0.96	PIN4	0.65	Il 16 27	0.38	
cg26820811	0.9	POTEF	-0.72	Il 18 42	0.64	
cg06731730	0.95	PRIC285	0.83	Il 1a 63	0.14	
cg08531998	0.94	PSPN	0.63	Il 2Ra 13	0.56	
cg19696891	0.92	PTGR1	-0.65	Il 3 64	0.24	
cg27495444	0.93	REC8	0.72	LIF 29	0.57	
cg17840843	0.93	RINL	0.85	M CSF 67	0.4	
cg05062854	0.95	ROM1	0.69	MCP 3 26	0.42	
		SLC16A3	0.78	MIF 35	0.27	
		SLPI	-0.63	MIG 14	0.63	
		SNORA39	0.81	SCF 65	0.23	
		SPATA2L	0.57	SCGF b 78	0.42	
		TMEM179	0.79	SDF 1a 22	0.24	
		TNFRSF6B	0.79	TNF b 30	0.26	
		TRBV12_3	0.46	TRAIL 66	-0.2	
		UBQLNL	0.65			
		UNQ6494	0.55			
		ZNF215	-0.76			
		ZNF574	0.74			
		ZNF688	0.65			


Subsequent set of LVs can be extracted by applying msPLS to the residual data of the epigenome and transcriptome data sources and to the original proteome data source (see “Methods” section). Doing so, we obtained a second set of LVs that explain a different portion of variance in the MVs than the first set of LVs (Fig. 3). After optimizing the model on the residual data, we obtained the second set of LVs that captured 67% of the remaining variance in both the epigenome and transcriptome variables and 91% of the remaining variance in the proteome variables. Thus the first two sets of LVs captured a total of 83% variance in the epigenome and transcriptome variables and a total of 97% variance in the proteome variables. The list of the second set of epigenomic and transcriptomic biomarkers and the proteomic variables with their corresponding weights can be found in Table 2.
Fig. 3 The resulting model from Section 3.2 extended to two LVs per dataset. The first set of LVs ξ1(1) and ξ2(1) partition out a different portion of variance in the proteome MVs than the second set of LVs ξ1(2) and ξ2(2). The colour scale represents the strength of w regression weights


Table 2 The second set of weights of the epigenomic, transcriptomic and proteomic variables extracted by msPLS from the Marfan data

Methylation markers	Gene expression markers	Cytokine markers	
Site	w	Gene code	w	Marker code	w	
cg23054189	0.93	AGTR2	-0.59	b NGF 46	0.57	
cg18347642	0.93	C2orf43	0.87	CTACK 72	0.52	
cg16489610	0.85	CCDC112	0.87	GRO a 61	0.16	
cg27013696	0.91	DKFZP434	-0.58	HGF 62	-0.08	
cg20457796	0.93	GMCL1	0.88	Hu Eotaxin 43	0.12	
cg03181582	0.91	LPO	-0.77	Hu FGF basic 44	0.23	
cg10521851	0.9	MAD2L1	0.74	Hu G.CSF 57	-0.57	
cg19968840	0.92	MGC4473	-0.81	Hu GM CSF 34	-0.03	
cg27648075	0.92	NFAM1	-0.7	Hu IFN g 21	-0.03	
cg22891500	0.92	NMI	0.8	Hu Il 10 56	0.17	
cg05158197	0.92	PF4	-0.83	Hu IL 12 p70 75	0.43	
cg20119106	0.93	PRDM14	-0.71	Hu IL 13 51	0.26	
cg02675353	0.91	PSMA8	-0.63	Hu IL 15 73	0.67	
cg26991025	0.93	RDM1	0.47	Hu IL 17 76	-0.14	
cg20643012	0.92	RNF8	0.69	Hu IL 1b 39	-0.03	
		TTC30A	0.8	Hu IL 1ra 25	-0.03	
		TTC30B	0.68	Hu IL 2 38	0.36	
		TTC4	0.81	Hu IL 4 52	0.67	
		UNQ6126	-0.79	Hu IL 5 33	0.23	
		ZNF677	0.86	Hu IL 6 19	-0.04	
				Hu IL 7 74	0.44	
				Hu IL 8 54	-0.69	
				Hu IL 9 77	0.13	
				Hu IP 10 48	0.73	
				Hu MCP 1 MCAF 53	-0.09	
				Hu MIP 1a 55	-0.24	
				Hu MIP 1b 18.	0.26	
				Hu PDGF bb 47	0.3	
				Hu RANTES 37	0.84	
				Hu VEGF 45	0.69	
				IFN a2 20	-0.29	
				Il 12 p40 28	0.59	
				Il 16 27	0.35	
				Il 18 42	0.4	
				Il 1a 63	0.04	
				Il 2Ra 13	0.57	
				Il 3 64	0.18	
				LIF 29	-0.04	
				M CSF 67	0.24	
				MCP 3 26	0.19	
				MIF 35	-0.48	
				MIG 14	0.24	
				SCF 65	-0.11	
				SCGF b 78	0.65	
				SDF 1a 22	0.39	
				TNF b 30	-0.19	
				TRAIL 66	0.38	


A gene set enrichment analysis (available at https://reactome.org) was used to test the association of the resulting gene expression markers (see Table 1) with already known biological pathways. The gene set enrichment analysis identified 208 pathways (see Additional file 2). We ordered the pathways on their respective p-values from an over-representation analysis (see https://reactome.org). For the sake of interpretability, we assessed the pathways with p-values only lower than 5×10−2. From the 208 pathways, 58 (28%) had a p-value <5×10−2 (see Table 3). From these pathways, 44 (76%) can be associated with Marfan disease. From the 58 pathways there are 14 (24%) not known to be associated with Marfan disease, and from these 14 there are 12 pathways that can be associated with the Influenza Virus. This might suggest that Influenza as co-morbidity was present in the patients during data gathering.
Table 3 Over representation analysis results of the msPLS analysis on Marfan data

Pathway name	p-value	Associated with Marfan disease through pathway	
Influenza Virus Induced Apoptosis	3.41 ×10−5	Not known*	
Non-integrin membrane-ECM interactions	2.92 ×10−4	Collagene formation [31]	
Anchoring fibril formation	4.73 ×10−4	Collagene formation [31]	
ECM proteoglycans	6.19 ×10−4	Extracellular matrix organization [31]	
Integrin cell surface interactions	7.90 ×10−4	Extracellular matrix organization [31]	
Transcriptional activation of mitochondrial biogenesis	8.17 ×10−4	Possibly through reduced mitochondrial respiration [32]	
Crosslinking of collagen fibrils	1.20 ×10−3	Collagene formation [31]	
Laminin interactions	1.98 ×10−3	Extracellular matrix organization [31]	
Mitochondrial biogenesis	2.40 ×10−3	Possibly through reduced mitochondrial respiration [32]	
NCAM1 interactions	3.92 ×10−3	NCAM signaling for neurite out-growth [33]	
Collagen chain trimerization	3.92 ×10−3	Collagene biosynthesis and modifying enzymes [31]	
TGFBR2 MSI Frameshift Mutants in Cancer	4.20 ×10−3	Signaling by TGF-beta receptor complex [31]	
Extracellular matrix organization	4.82 ×10−3	Extracellular matrix organization [31]	
Host Interactions with Influenza Factors	5.02 ×10−3	Not known*	
Organelle biogenesis and maintenance	5.14 ×10−3	Possibly through reduced mitochondrial respiration [32]	
Transfer of LPS from LBP carrier to CD14	6.30 ×10−3	Possibly through toll-like receptor-4 signaling [34]	
Transport of HA trimer, NA tetramer and M2 tetramer from the endoplasmic reticulum to the Golgi Apparatus	6.30 ×10−3	Not known*	
Loss of Function of TGFBR2 in Cancer	8.39 ×10−3	Signaling by TGF-beta receptor complex [31]	
TGFBR1 LBD Mutants in Cancer	8.39 ×10−3	Signaling by TGF-beta receptor complex [31]	
TGFBR2 Kinase Domain Mutants in Cancer	8.39 ×10−3	Signaling by TGF-beta receptor complex [31]	
Assembly of collagen fibrils and other multimeric structures	8.81 ×10−3	Collagene formation [31]	
Collagen degradation	9.32 ×10−3	Degradation of the extracellular matrix [31]	
NCAM signaling for neurite out-growth	9.58 ×10−3	NCAM signaling for neurite out-growth [33]	
Interleukin-4 and Interleukin-13 signaling	9.78 ×10−3	Vascular inflammation through interleukins [35, 36]	
Collagen biosynthesis and modifying enzymes	1.12 ×10−2	Collagene formation [31]	
TGFBR1 KD Mutants in Cancer	1.26 ×10−2	Signaling by TGF-beta receptor complex [31]	
Loss of Function of TGFBR1 in Cancer	1.46 ×10−2	Signaling by TGF-beta receptor complex [31]	
SMAD2/3 Phosphorylation Motif Mutants in Cancer	1.46 ×10−2	Signaling by TGF-beta receptor complex [31]	
Assembly of Viral Components at the Budding Site	1.46 ×10−2	Not known*	
Loss of Function of SMAD2/3 in Cancer	1.67 ×10−2	Signaling by TGF-beta receptor complex [31]	
RUNX3 regulates CDKN1A transcription	1.67 ×10−2	Signaling by TGF-beta receptor complex [37]	
Signaling by TGF-beta Receptor Complex in Cancer	1.88 ×10−2	Signaling by TGF-beta receptor complex [31]	
